author,comment,published_at,likes
@sankettokiller9150,if any body see the in this video tumbnail which book they use give me there name,2026-02-21T06:26:30Z,0
@adityabasu7999,How to get gold or above in usaco?,2026-01-11T13:31:29Z,0
@iC1000Numerounius,Your existence heals my soul,2025-12-27T16:05:48Z,0
@Shasows,"Should I start Competitive Programming now? It’s 2025, so I don’t know if this will be a good decision . Please reply boss",2025-12-03T15:41:44Z,0
@rjun152,Woa don't get stuck for 30min? I usually get stuck for hours and call my self an idiot and quit,2025-11-16T09:10:21Z,0
@private_down,(Noice bears.),2025-11-15T09:35:40Z,0
@xradmir1,can I have a russian version this english accent is killing me,2025-11-08T08:59:49Z,0
@Isaac-p2c8p,"Taking more than 30 minutes, tasking the code, if you should add an extra if.",2025-10-30T02:31:15Z,0
@AshrafulIslam-y2u,great boss..,2025-10-19T13:26:30Z,0
@Jump-d3l,you need to pratice *leaves the video*,2025-10-10T14:28:38Z,0
@vinesthemonkey,"Step 0: be Chinese

Easy LGM rank",2025-09-29T04:47:05Z,1
@thai1-y9v,"When I look at the solution, I feel guilty.",2025-09-27T12:53:18Z,0
@kingfayaiz44,Step 1 : Just Participate,2025-09-18T06:36:25Z,12
@Saturogaming111,first one ☝,2025-08-26T20:13:16Z,0
@Focusfor1year,"If anyone has experience with games like dark souls or sekiro, then I believe you already know what to do",2025-08-26T13:22:43Z,0
@JatinRaghav137,"""You thought the video"" -> ""You F*&ked the video""  0:33
Am I the only one who head this?",2025-08-06T13:35:22Z,0
@dhruv28226,Thank you!,2025-08-05T08:24:43Z,0
@yunus25jmi1,Bro u just dropped the masterpeice hook on start of the video.,2025-07-04T14:02:26Z,0
@theeagle1806,That was truly awesome man. Loved it,2025-07-03T06:31:48Z,0
@jubayer2281,Wow,2025-07-01T07:02:23Z,0
@PRASHANTPODDAR-n8h,"first 30 second was really shocking .
i was thinking that its 4 mint vdo how its end in 30 second then u said the truth.

and most best is last of 1 mint",2025-06-21T06:22:03Z,0
@SS-Stafenberg,lol no 1... 😄,2025-06-21T06:16:01Z,0
@Gazrul-j6g,Practice,2025-06-06T16:50:59Z,0
@hectatusbreakfastus6106,"This is great.  I've recently started to take programming seriously and I just love it and have come a long way in the past 4 months.  I still have a long way to go but it really is enjoyable.  I made a goofy practice program that will tell me if a donair is tasty, started it today, just need to figure out how to loop through the linked list of structs to make it work hahaha.  I am looking forward to getting the skills to build the programs I have in my head.",2025-05-10T05:09:30Z,0
@tensorPorduct,🥰,2025-03-16T16:37:58Z,0
@FlyicCN,Now I have become a red coder.,2025-03-05T09:08:55Z,0
@adityachopra9725,I could not solve a problem and did not understand the editorial solution either,2025-02-23T15:35:31Z,1
@HrishabhPatel09,Tip Number 1 😄,2025-02-18T14:01:20Z,0
@AyazNcfli,Thanks a lot !!! I promised that I will be a red coder!!!,2025-02-08T10:38:00Z,0
@yashrajsingh9247,"Who are beginners? Like what range is it, let's say, by number of question, to classify someone as beginner?",2025-01-28T20:22:59Z,0
@mithunvsadananda3285,"Hi Errichto, have you anytime stuck ?? have you seen others solutions when you stuck.",2025-01-22T15:56:50Z,0
@bowg444,I may never announce that I am getting competitive. Thank you for these useful tips!,2025-01-10T20:46:22Z,0
@salimachowdhuary1849,2:15 is it true that they all watch errichto?,2024-12-17T07:36:50Z,1
@TakeYourTimeBack,"tip: codemore, even in the games for example osu, playmore",2024-11-28T14:50:53Z,0
@davidjalkh,dziekuje pan errichto,2024-10-29T19:25:11Z,0
