author,comment,published_at,likes,type
@sankettokiller9150,if any body see the in this video tumbnail which book they use give me there name,2026-02-21T06:26:30Z,0,Main Comment
@adityabasu7999,How to get gold or above in usaco?,2026-01-11T13:31:29Z,0,Main Comment
@iC1000Numerounius,Your existence heals my soul,2025-12-27T16:05:48Z,0,Main Comment
@Shasows,"Should I start Competitive Programming now? It’s 2025, so I don’t know if this will be a good decision . Please reply boss",2025-12-03T15:41:44Z,0,Main Comment
@rjun152,Woa don't get stuck for 30min? I usually get stuck for hours and call my self an idiot and quit,2025-11-16T09:10:21Z,0,Main Comment
@private_down,(Noice bears.),2025-11-15T09:35:40Z,0,Main Comment
@xradmir1,can I have a russian version this english accent is killing me,2025-11-08T08:59:49Z,0,Main Comment
@Isaac-p2c8p,"Taking more than 30 minutes, tasking the code, if you should add an extra if.",2025-10-30T02:31:15Z,0,Main Comment
@AshrafulIslam-y2u,great boss..,2025-10-19T13:26:30Z,0,Main Comment
@Jump-d3l,you need to pratice *leaves the video*,2025-10-10T14:28:38Z,0,Main Comment
@vinesthemonkey,"Step 0: be Chinese

Easy LGM rank",2025-09-29T04:47:05Z,1,Main Comment
@thai1-y9v,"When I look at the solution, I feel guilty.",2025-09-27T12:53:18Z,0,Main Comment
@kingfayaiz44,Step 1 : Just Participate,2025-09-18T06:36:25Z,12,Main Comment
@Saturogaming111,first one ☝,2025-08-26T20:13:16Z,0,Main Comment
@Focusfor1year,"If anyone has experience with games like dark souls or sekiro, then I believe you already know what to do",2025-08-26T13:22:43Z,0,Main Comment
@JatinRaghav137,"""You thought the video"" -> ""You F*&ked the video""  0:33
Am I the only one who head this?",2025-08-06T13:35:22Z,0,Main Comment
@dhruv28226,Thank you!,2025-08-05T08:24:43Z,0,Main Comment
@yunus25jmi1,Bro u just dropped the masterpeice hook on start of the video.,2025-07-04T14:02:26Z,0,Main Comment
@theeagle1806,That was truly awesome man. Loved it,2025-07-03T06:31:48Z,0,Main Comment
@jubayer2281,Wow,2025-07-01T07:02:23Z,0,Main Comment
@PRASHANTPODDAR-n8h,"first 30 second was really shocking .
i was thinking that its 4 mint vdo how its end in 30 second then u said the truth.

and most best is last of 1 mint",2025-06-21T06:22:03Z,0,Main Comment
@SS-Stafenberg,lol no 1... 😄,2025-06-21T06:16:01Z,0,Main Comment
@Gazrul-j6g,Practice,2025-06-06T16:50:59Z,0,Main Comment
@hectatusbreakfastus6106,"This is great.  I've recently started to take programming seriously and I just love it and have come a long way in the past 4 months.  I still have a long way to go but it really is enjoyable.  I made a goofy practice program that will tell me if a donair is tasty, started it today, just need to figure out how to loop through the linked list of structs to make it work hahaha.  I am looking forward to getting the skills to build the programs I have in my head.",2025-05-10T05:09:30Z,0,Main Comment
@tensorPorduct,🥰,2025-03-16T16:37:58Z,0,Main Comment
@FlyicCN,Now I have become a red coder.,2025-03-05T09:08:55Z,0,Main Comment
@adityachopra9725,I could not solve a problem and did not understand the editorial solution either,2025-02-23T15:35:31Z,1,Main Comment
@HrishabhPatel09,Tip Number 1 😄,2025-02-18T14:01:20Z,0,Main Comment
@AyazNcfli,Thanks a lot !!! I promised that I will be a red coder!!!,2025-02-08T10:38:00Z,0,Main Comment
@yashrajsingh9247,"Who are beginners? Like what range is it, let's say, by number of question, to classify someone as beginner?",2025-01-28T20:22:59Z,0,Main Comment
@mithunvsadananda3285,"Hi Errichto, have you anytime stuck ?? have you seen others solutions when you stuck.",2025-01-22T15:56:50Z,0,Main Comment
@bowg444,I may never announce that I am getting competitive. Thank you for these useful tips!,2025-01-10T20:46:22Z,0,Main Comment
@salimachowdhuary1849,2:15 is it true that they all watch errichto?,2024-12-17T07:36:50Z,1,Main Comment
@bimokayoba,Hmm 🤔... No?,2025-03-31T17:52:17Z,0,Reply
@TakeYourTimeBack,"tip: codemore, even in the games for example osu, playmore",2024-11-28T14:50:53Z,0,Main Comment
@davidjalkh,dziekuje pan errichto,2024-10-29T19:25:11Z,0,Main Comment
@siddharthsaxena9372,"00:32 Practice is key to becoming a red coder in Codeforces
01:04 5 tips to become red in code forces
01:36 Tips for improving coding skills
02:08 Choose problems slightly above your level to improve
02:40 To become a red coder on Codeforces, solve a lot of problems.
03:12 Looking at the editorial after being stuck for 20-30 minutes
03:44 Implement solutions from editorials to understand techniques better
04:10 Tips on becoming a red coder in Codeforces",2024-07-26T19:05:36Z,6,Main Comment
@chad._life,tip no X:  assemble your thoughts on paper first,2024-07-05T20:07:50Z,0,Main Comment
@ayushpareek4757,pronze panstwa,2024-07-04T09:33:55Z,0,Main Comment
@piotr780,thinking in C++ is one of worst books ever !!! it is for C fans only - with whom he fights in this book,2024-05-26T08:54:19Z,0,Main Comment
@RahulBansal14,I used to waste a lot of time while solving a problem. I will stay on the problem for 1 day that was huge waste. This is a good advice think for about 20 minutes.,2024-05-03T17:04:08Z,0,Main Comment
@pythonsamurai,"Да говори нормально, все свои",2024-04-27T16:48:15Z,0,Main Comment
@agustinperez8700,"I like more the first one, for me it's the most important, just PRACTICE.",2024-04-12T11:26:49Z,0,Main Comment
@Rudra0x01,His chair left him to be red coder at the end,2024-04-04T09:23:17Z,16,Main Comment
@kartiknagrale1479,Wow I just watched it on the 1st of April,2024-04-01T17:54:00Z,0,Main Comment
@CHRISTO_0101,👨🏻‍🎓🥇🥇🗝️🗝️💝👰🏻‍♀️😄🥥🏠👨‍👩‍👧🕊️🥥👰🏻‍♀️💝🥇🥇🚠,2024-03-23T05:34:56Z,0,Main Comment
@bieniumyszkowski8252,What if I just want to stuck for Long hours?,2024-03-19T01:48:39Z,0,Main Comment
@deadpoetalive4182,He tried really hard,2024-02-23T10:10:34Z,1,Main Comment
@shathayasin1483,🙃,2023-12-31T11:32:14Z,0,Main Comment
@susboy2000,Blud thinks he is funny.,2023-11-25T07:41:49Z,1,Main Comment
@jamilalwayse,🙂,2023-11-12T16:22:03Z,0,Main Comment
@fareidfareid6484,❤❤❤❤❤,2023-11-06T10:03:25Z,0,Main Comment
@ThanhNguyễnPhúc-s8c,thanks you for vietnamese sub,2023-10-01T06:12:04Z,0,Main Comment
@ashrafibrahim4934,I am a 1600. Does it make sense for me to solve 100+ 2200 problems? Because that's what I am doing,2023-08-04T05:03:52Z,0,Main Comment
@jelez0bet0n90,no ? but if you enjoy thinking a lot about hard problems then sure,2023-10-10T18:19:40Z,0,Reply
@RikusLategan,"Spengler, are you serious about actually catching a ghost?",2023-06-29T00:18:29Z,0,Main Comment
@ibrahimizi741,i more fun when i typing with look to keybourd,2023-06-26T11:57:47Z,0,Main Comment
@ibrahimizi741,i need touch typing or not?,2023-06-26T11:57:14Z,0,Main Comment
@markovujanic,"I stoped at 0:27s, this is good advice!",2023-05-27T14:59:30Z,0,Main Comment
@hareepjoshi,That thumbnail with the og C++ tome,2023-05-11T02:00:58Z,0,Main Comment
@sergemerto256,The biggest irony is that whoever is watching this video for trying to find a way to become a red coder will most probably never end up becoming one. The red coders i have seen are all very serious and hardly give any time on youtube or watching help videos,2023-04-14T09:18:33Z,0,Main Comment
@valadis6470,bollocks.,2023-04-18T22:43:50Z,0,Reply
@trojanhorse8278,Can someone please tell me which book he is holding in his thumbnail? i can read the line thinking in C++ but apart from it im not able to see the author name.,2023-04-13T05:08:36Z,0,Main Comment
@filmamundo9194,very simple yet informative vídeo,2023-04-03T15:27:49Z,0,Main Comment
@chuquimiaparrajorgeluis2142,when you see the video on april 1st  😮,2023-04-01T13:42:17Z,0,Main Comment
@AmitKumar-gc9qc,I am watching this video on 1st Apr 2023.,2023-04-01T08:15:18Z,0,Main Comment
@sakhawat_100,this video is not only about to be red but also for a random guys,2023-03-18T18:11:00Z,0,Main Comment
@alirezaasadi8656,you are awsome,2023-03-01T10:36:22Z,0,Main Comment
@shaaoux5590,"Im getting trouble with tip5：if tutorial is hard to understand and the implementation is hard too, should you skip it or spend days on it? If you skip it, how is it any different working on it on the other day?",2023-02-17T11:03:59Z,1,Main Comment
@JamesHoang121,You are so cute as you stop during the video after telling the joke like that,2023-01-26T12:50:17Z,0,Main Comment
@01aniruddhaislam26,2:41 where is the editorial ?😓,2022-12-20T17:45:06Z,0,Main Comment
@ashishkumarupadhyay,april fool sir that i missed,2022-11-19T10:41:53Z,0,Main Comment
@vinayshukla6316,"No promotion, No extra talk to make video long. Exactly to the point. 💯❤️",2022-11-12T03:18:17Z,9,Main Comment
@ashrafibrahim4934,I can't get myself to read editorials. It ruins the problem solving experience for me. How can I become a red coder without reading editorials,2022-11-05T22:39:30Z,0,Main Comment
@saptarshisengupta5073,my man says thanks for the video but there's like 5 mins left,2022-11-05T10:35:34Z,1,Main Comment
@MegaFlorinBoss,......THANK YOU FOR THE VIDEO,2022-11-04T12:29:28Z,0,Main Comment
@Sumeet_100,Awesome 🔥🔥🔥,2022-10-01T09:58:14Z,0,Main Comment
@mohamedtechnology5105,I remember a problem took me 3 days to solve. I won't waste that much time anymore.,2022-09-09T22:01:44Z,0,Main Comment
@eyasir2047,"what's your handle name?(code forces, CodeChef)",2022-08-14T16:24:58Z,0,Main Comment
@demetriusjohnson5358,"My advice is to learn computer science... especially computer architecture..then any language will make sense, and you will understand how to harness the problem solving abilities of any computer language and understand it's physical limitations..it also explains why many use C++ for competition...it's one of the most flexible and free range languages but of course required you to understand fundamentally how the Von Neumann computer science architecture works",2022-08-06T18:57:53Z,1,Main Comment
@abhijitdebnath4087,Love from india brother 💕,2022-08-06T04:26:23Z,0,Main Comment
@edgaredgar4160,Hello! I am beginner in coding and I really like your videos. I think they are really interesting and you are nice guy!,2022-07-31T22:54:14Z,0,Main Comment
@khaledsalah9248,"""Thank you, I will fight for you :)""",2022-07-28T20:14:49Z,0,Main Comment
@Bilal_Alasha,I think i was doing a very bad mistake (: usually when i get stuck i keep trying even if it takes me to the next day to solve the problem 😐. thanks for the tip you might have just saved my life,2022-07-15T23:56:17Z,0,Main Comment
@thefuture4519,i love your video it just fun,2022-07-08T00:21:18Z,0,Main Comment
@imranq9241,What's the incentive to be good at solving these coding problems?,2022-06-28T14:49:25Z,0,Main Comment
@harshvirtomar6552,"Yeah okay got it, but is that rated?",2022-06-20T12:24:24Z,0,Main Comment
@diegonayalazo,Thanks for sharing,2022-06-18T04:23:44Z,0,Main Comment
@mantrarajgotecha3055,Most liked tip by me is “practice”,2022-06-10T06:07:06Z,0,Main Comment
@Reenact12,이걸 보고 레드 코더가 되었습니다,2022-06-08T12:59:37Z,0,Main Comment
@aziz0x00,Thank you bro ❤❤❤❤,2022-05-22T16:07:24Z,0,Main Comment
@wokegod007,Love this guys humor 😂.,2022-05-11T21:11:14Z,0,Main Comment
@nasseryazgi,Coool,2022-04-26T00:58:27Z,0,Main Comment
@SanjuKumar-ye8xz,"When you say bye bye at starting,   Then I focused on the video and saw that the video is still pending.  The timeline is  not complete and in video is bye bye. How 😄😄😄😄",2022-04-18T17:47:43Z,1,Main Comment
@relytheone853,Does exist a book on math for software developers?,2022-04-17T11:43:52Z,0,Main Comment
@gençlermerhabahepinizhoşgeldnz,"Not getting stuck on one question and instead watching editorial tip was very helpful, thanks!",2022-04-08T19:22:25Z,7,Main Comment
@x6andrey,Where I can find the editorials for problems? if they have of course.,2023-10-06T15:57:29Z,0,Reply
@gençlermerhabahepinizhoşgeldnz,"when you open a problem in codeforces you can see it below the right panel, and right below the submit button@x6andrey",2023-10-18T07:50:53Z,0,Reply
@CharlieForEve,"No.  You need to know the principles and techniques of smart algorithms.  And what is a technique?  Well really, it is a way to transform a problem into an easier problem that has the same answer.  Like N*(N+1)/2 instead of 1+2+3+ . . . + N.  And that happens when you utilize all of the information given and its special properties to show it is a special case of what its straightforward representation is.  You have to think in terms of general principles.  sets, lists, trees - data structures - and how to reduce them.",2022-04-04T12:56:49Z,1,Main Comment
@divyanshuparihar9693,The irony is today is 1st april too,2022-04-01T16:39:13Z,0,Main Comment
@ShikaIE,"A bit late to this, but I just want to point out on 3:16 he mentioned that even after reading editorial, you should still implement it yourself. This is in line with the ""thinking fast and slow"" concept where System 1 is the fast (processing your senses etc), intuitive thinking, skills, and System 2 is the deep, analytical thinking. If you don't engage your System 2, chances are you won't learn anything. Just like when you use GPS navigation fully vs getting lost at first. You'd remember the route better with latter :)
Also doing things long enough, using System 2, it will become intuitive later and only need System 1, like learn to ride a bicycle.",2022-03-16T09:30:25Z,57,Main Comment
@jacktrainer4387,"Another tip is to speak with his accent. By default, every American will believe you are an expert programmer.😉",2022-03-15T18:17:15Z,0,Main Comment
@michaelscott5653,I'm stuck at getting good at the 1st tip..,2022-02-28T06:47:13Z,0,Main Comment
@malrborojamez1631,LOOOOOOOOOOOL,2022-02-02T11:13:15Z,0,Main Comment
@prplutem,I hace 42 and like start to program,2022-01-22T11:19:08Z,0,Main Comment
@your_name96,"My goal for watching this video is not to become X-rated coder, but howto solve harder problems in round, I want to understand good CF blogs but I can only if I improve my knowledge and skill. 
I will come back in 1 year here. Thank you Kamil",2022-01-06T21:56:44Z,0,Main Comment
@That_Girly_Gamer,i want to know whether i can keep a pen and paper with myself and use it to dry run code before submitting. iwant to use the pen and paper for rough work.,2021-12-20T18:10:38Z,0,Main Comment
@Kolmogortsev_KK,Thank you a lot! You really made my mind cleaner about how to start and what to do at all. I got myself being stuck with begining because all mind is about what to read or what to find to just start so it just even started. Competitive programming is what i really need but also it is so hard. Would like to be a red,2021-12-18T20:22:39Z,2,Main Comment
@kariakistephen508,You can't be funny is not for you,2021-12-09T19:39:32Z,0,Main Comment
@Iloverecursion,Are u Mr bean cz I see his 🧸,2021-11-24T13:35:14Z,0,Main Comment
@sanatbek819,Your are doing really good job! Thanks,2021-11-19T19:40:00Z,0,Main Comment
@amulop,Is that java language matter ?,2021-11-15T09:24:17Z,0,Main Comment
@arkabahce,What is priceless ? Priceless is that a programmer making jokes ! :D However it does not look like normal people making jokes :D,2021-11-13T21:09:28Z,0,Main Comment
@manavkapur8428,Thanks Hope I could  do good in next 6 8 months with these tips !,2021-10-27T16:26:29Z,0,Main Comment
@mainchannel7003,3rd most popular question: what gives you becoming red ?,2021-10-21T09:18:26Z,0,Main Comment
@liquid-007-me,THINKING IN C++ EDYCJA POLSKA TOM 2 BRUCE ECKEL CHUCK ALLISON,2021-10-20T19:46:33Z,0,Main Comment
@rifatchowdhury3683,"@Errichto greetings sir. Hope you are fine. I watch your videos very often. I am a high school student. And in my country a lot of high school student want to be a good coder as well as a good competitive programmer. So can you provide sone metarial and videos for high school students?
It will be very helpfull for us in our near future.",2021-10-20T12:54:01Z,1,Main Comment
@noicerone,"Just like Math
More practice you do  = better you get.",2021-10-13T07:13:15Z,0,Main Comment
@zakrzak6430,zrobisz polską wersje bo widzę że jesteś polakiem :),2021-09-28T05:18:35Z,0,Main Comment
@the_santa_klaus,"1. Practice
2. Solve problems with editorials
3. Solving problems slightly above your level. 
4. Solve an optimal numbers of problems like 200-400 not 2000-4000
5. Don't get stuck for long hours.",2021-09-25T19:43:50Z,1035,Main Comment
@yannickyannick3317,what do you mean by solve an optimal number of problems in the range of 200 to 400?... shouldn't the logic be solve as many problems as you can????,2021-12-13T09:04:28Z,23,Reply
@shreyasaravanan7720,"@yannickyannick3317 you know...he means to say...don't solve to many problems of the same kind. instead, a few hundred hand-picked problems would prove helpful.",2022-01-23T17:33:17Z,25,Reply
@yannickyannick3317,@shreyasaravanan7720  thanks for the clarification,2022-01-23T19:38:54Z,7,Reply
@shreyasaravanan7720,@yannickyannick3317 Sure😄,2022-01-24T04:11:41Z,4,Reply
@m1rac1e,"some people may need 2k - 4k to hit red while others may only need 200 - 400. gotta remember that life is NOT fair, some people are more talented and smart than you. all you can do is work hard.",2022-03-13T01:14:54Z,35,Reply
@AnasMations,I want to become Nutella,2021-09-13T12:39:37Z,0,Main Comment
@chatterbox2052,"Hey @Errichto , can u make videos on how to overcome depression & rating loss fear agitation problem in C?. Thank you.",2021-08-30T13:57:37Z,0,Main Comment
@houssainehilali5305,U got us with that April fool ngl,2021-08-23T19:35:19Z,0,Main Comment
@SaifurRahman92,"1:24 If you were me, you would have given up and slept.",2021-08-21T05:07:00Z,4,Main Comment
@aziz0x00,"awesome man, really this is so helping! you r a life savior!",2021-08-19T17:49:47Z,0,Main Comment
@HarshaVardhan-xx6ii,Are you related to Tim Cook of Apple>,2021-08-19T03:38:34Z,0,Main Comment
@vipulpatil8307,"How much effort should be taken 








.


.Any one reply",2021-08-17T16:50:47Z,0,Main Comment
@lighthasan3811,What's the name of the books your holding?,2021-08-17T11:50:00Z,0,Main Comment
@lighthasan3811,What's the name of the books your holding?,2021-08-17T11:48:41Z,0,Main Comment
@md.yasinarafathpiyal2217,"Sir, I really want to be a coder but the problem is I just can't start solving problems. Like my brain is not letting me to start coding or something. What can I do about this? any suggestion?
Thanks to whoever give me a solution. I will appreciate your answer. Have a good day.",2021-08-15T15:30:34Z,0,Main Comment
@StartWithShikhorRoy,"https://youtu.be/y7169jEvb-Y?t=243

🤣🤣🤣🤣🤣",2021-08-15T14:16:49Z,0,Main Comment
@amad1eus271,"I think my screen hang 0:24....





Then he blink his eyes 2 times...",2021-08-14T09:20:39Z,0,Main Comment
@swordofgrayskull1530,This guy reminds me of max verstappen,2021-08-07T11:14:54Z,0,Main Comment
@the_01_guy,"came here from YT scrolling, good one sir, thank you",2021-08-07T07:06:28Z,0,Main Comment
@devanshkumar1542,00:38 yes we know you are a red coder,2021-08-06T07:47:56Z,0,Main Comment
@336_saranyamaity8,"why you look so intelligent 😂 ?
BTW obviously you are !!!!",2021-08-06T03:04:41Z,0,Main Comment
@mr.ANIMAT0N,"Why am I here, I'm just a noob",2021-08-05T08:52:21Z,1,Main Comment
@Waliul_The_Wall-E,wow,2021-08-04T08:16:10Z,0,Main Comment
@aeons0_0,jiangly,2021-08-03T11:58:49Z,0,Main Comment
@tianyima8642,Thank you so much for this! I liked that you mentioned the editorial. I think that's very important.,2021-08-01T19:48:45Z,1,Main Comment
@alexandrosipov4186,Tip 0: You must be born as a freak,2021-07-23T21:10:20Z,0,Main Comment
@rishicabrera4484,🤔,2021-07-21T16:22:55Z,0,Main Comment
@brolyshop6822,"I never think this joke will come from Erictho, he looks like kind of serious person. That’s so funny.",2021-07-21T06:54:54Z,0,Main Comment
@shahidullahkaiserfaravi,Is Regular 8 hrs practice enough for beginners?,2021-07-01T21:09:27Z,0,Main Comment
@its_raksh,Thanks,2021-06-29T04:55:30Z,0,Main Comment
@kimjong-un4521,Thankyou,2021-06-19T04:35:56Z,0,Main Comment
@gauravkumar-ek8mr,"I am starting Today.
wish me, Good luck guy's",2021-06-13T04:44:09Z,2,Main Comment
@maseqo3360,#NAME?,2021-06-06T18:44:48Z,0,Main Comment
@lukkash,"➡️ Grębosz _""Opus magnum C++ 11""_ , kolejna perelka godna polecenia",2021-05-20T18:51:31Z,1,Main Comment
@priyanshukumarsingh9397,"Hello, i am from India and i want to known that the same problem i did it on an IDE it runs but not in Codechef why? And can you help me how to solve problems in their ways?",2021-05-20T17:13:11Z,0,Main Comment
@Kitora_Su,Why did you upload this on April 1st? x.x (jk),2021-05-17T09:48:43Z,0,Main Comment
@mixshots1801,Thank you very much,2021-05-15T20:55:02Z,1,Main Comment
@ajayhayagreeve70,"What the hell!! How did you become red by solving just 800 problems (maybe around 1200 with other sites) ? I have solved more than 2000 problems in 2 accounts combined, with normal distribution of mean around 1700 and sigma around 350, but i am still blue.",2021-05-15T03:47:55Z,0,Main Comment
@terajijaji3339,Today youtube Algo gave me his video and now just subscribed.,2021-05-14T17:33:53Z,0,Main Comment
@whitebear1903,*proszę państwa oto mis*,2021-05-08T22:40:55Z,0,Main Comment
