author,comment,published_at,likes
@KritikaSharma-n4s,Love you,2026-03-20T16:12:20Z,0
@bellahmarape8056,♥️♥️♥️👊🏽🙌🏻🙏🏾,2026-03-01T00:40:12Z,0
@sylviansofu-z1q3l,❤❤❤❤ i always feel good when I listen to music with guitars.,2026-02-22T19:34:07Z,0
@WatuKwanzaNGO,18 February 2026,2026-02-18T01:37:18Z,0
@WatuKwanzaNGO,I love this song,2026-02-18T01:30:22Z,2
@BlankPictures-1,When I had a ear infection my brother sent me this song lol,2026-02-13T21:43:25Z,1
@sysabef,how has this guy not even gotten a grammy nomination yet cardi ghostwriter B has,2026-01-25T00:33:12Z,0
@simbarashedzapasi8777,2026 anyone,2026-01-21T13:59:50Z,1
@Khruku-u8v,anyone 2026,2026-01-20T09:54:30Z,0
@visionscreentv,who's listening 2026?❤,2026-01-17T21:45:20Z,77
@LuisJauregui1997,2026,2026-01-17T12:29:05Z,0
@LunlenlalHangshing-x6z,2026😮😅,2026-01-15T13:38:01Z,0
@Rayo_olu,Who else is watching in 2026☺️,2026-01-09T18:53:42Z,0
@HadassahElh,Who’s listening in 2026?,2026-01-05T14:49:07Z,12
@Tomok0-88,In 2026 this song still hits different,2026-01-03T08:59:25Z,0
@norma-y1z2j,2026🎉,2026-01-02T06:21:48Z,0
@TsholofeloVaughan,🎉,2025-12-21T18:09:07Z,0
@BenedictGold-q1z,"Anyone in December 18, 2025",2025-12-18T10:35:24Z,0
@flameridershow4188,I WAS HERE AND THIS 2025 N I STILL LISTEN TO THIS SONG LIKE IT WAS RELEASED YESTERDAY,2025-12-11T21:15:58Z,1
@Red_redemption2,2025???,2025-12-02T21:14:05Z,2
@jasonoreilly389,"This video breaks me everytime I watch it, but 'in not your son, you're not my father, we're just two grown men saying goodbye' breaks me further everytime 😢",2025-11-26T01:48:15Z,0
@ElitoQuinks,Who is listening in November 23 2025,2025-11-23T03:34:11Z,0
@fitbosssomi6102,"This song is just as good as Passenger in my opinion.
So good❤",2025-11-22T21:36:48Z,0
@py-zerz,Passenger's songs are forever fire🔥🔥🔥,2025-11-19T04:45:52Z,0
@HendryPrasetyo-b8k,Selama 3thn kerjanya cuma memata2i menyadap...ditanya gak jelas,2025-11-18T05:44:05Z,0
@sharmanking7389,Still here yall,2025-11-14T07:52:38Z,0
@Mikealvarez100,"I need a 1000hour version, i keep repeating 🤗",2025-11-07T21:19:19Z,0
@andrecampbell115,i'm in 2025,2025-11-07T00:27:46Z,0
@JenangMarak-b9b,Who's listening in 2026❤,2025-10-28T16:48:33Z,1
@GeorgeGichiaGG,This is how am feeling then boom this song speaks for me thank you passenger,2025-10-26T15:10:20Z,0
@HuseneAlii,Me agen nba,2025-10-25T22:30:55Z,1
@maureendrennan9328,Me 💕,2025-10-23T17:05:18Z,0
@mharajowl3600,october 2025,2025-10-18T15:24:57Z,1
@lauramorris8024,Best song to date❤,2025-10-15T05:21:17Z,2
@WendyKh-M5x,Who is listening to music this song in October 2040?,2025-10-08T15:50:29Z,0
@ChigambirthSangma,2025 October?,2025-10-04T16:15:37Z,1
@cselabaid7026,"Israeli army,  be civilised.",2025-10-03T17:09:24Z,0
@AkaYeptho-m7v,Literally awesome❤,2025-10-01T09:30:31Z,0
@Sir_dame_a,Who's in 2025?,2025-09-25T16:21:18Z,0
@officialJoshua_A,Me listening 🎧 after losing my girlfriend 😭😭,2025-09-21T18:04:24Z,1
@BerenJojo,Anyone in 2025,2025-09-21T01:49:52Z,1
@debojyotibhattacharjee3164,Anyone in 2025 for this evergreen song?,2025-09-16T14:50:46Z,8
@PemirikMarak,Anyone 15 September😊,2025-09-15T04:30:32Z,1
@ToutaBn,"I remembre listening to this song just 3 years after its release .i was a kid , never got the lyrics right , only got the plastic word .
Lost my old phone , i wasn't able to remember the song name untill this moment , i decided to look for it even more ,and i found it .
The lyrics really hit , different than many other songs that only talk about love",2025-08-30T20:57:12Z,0
@RihunShylla-c6p,👍,2025-08-26T02:24:23Z,0
@PreciousMuwema,Who here in 2025,2025-08-21T16:25:16Z,0
@iawrenspassionforlittleact6305,2025 still listening and many more years to come,2025-08-18T11:58:51Z,0
@LindsonRMarak,Who listen 2025 ❤,2025-08-11T09:47:00Z,0
@otieno2830,I hide behind my jokes as a form of protection 😌,2025-08-10T12:12:57Z,1
@realbenedictik,There's fish in the sea for me to make a selection. I'll dive in if not for my ill infection 🎶,2025-08-10T11:21:24Z,0
@manjaplanting3196,me,2025-08-05T15:50:36Z,0
@felixhmachio,Perfect soundtrack,2025-08-04T09:10:09Z,0
@maninialphonsa5797,1:40,2025-08-02T04:40:57Z,0
@G25ENY,2025 and still a banger. I have the chorus tattooed 🫶🏻,2025-07-30T21:49:34Z,0
@officialJoshua_A,2025 gather here❤🎉,2025-07-24T15:38:40Z,0
@fatimakicha4993,2025 up here❤🎉,2025-07-22T15:00:58Z,0
@shannanryan3056,What 😮!!? What I'm still in 87 😂😂😂,2025-07-19T04:16:13Z,1
@PaulAlamu-os4mr,Who's listening in 2025?,2025-07-17T10:43:15Z,0
@JeanpierreHabimana-d5b,"Im from Rwanda but now i can not stop to listen this song's verses,i like it too much,i can play it more than ten times per day.",2025-07-15T17:52:45Z,0
@aazabty7,2025?,2025-07-15T14:28:46Z,1
@RickyPde-d8p,Anyone from 2025,2025-07-12T03:34:02Z,2
@pranjalihardikar,As I the only one who thinks he is running backwards and end in a condom? Or am I overthinking?,2025-07-08T18:49:24Z,0
@gavinjoseph104,Hey I'm here in 2025🎉,2025-06-29T01:40:02Z,1
@SangsangiFanai-nw1yf,Who's listening in 2025,2025-06-22T17:06:23Z,0
@2xchewang441,Anyone 2025?,2025-06-21T16:54:32Z,0
@EmmanuelShadrick,Who is here in 2025,2025-06-20T08:41:39Z,0
@ilovekittenz401,Just found this song. Gonna have this on replay everyday 😀,2025-06-20T03:54:03Z,0
@clairedushime3249,Here 2025,2025-06-19T13:49:26Z,0
@kezuwelomero4190,2025 anyone??,2025-06-14T05:03:43Z,0
@AttaDanso-z5i,2025 I’m here,2025-06-12T22:26:01Z,0
@Terryandpup,The poetry the music.....love love it!,2025-06-12T11:10:09Z,0
@sujitdsouza,Paul Simon in the making.,2025-06-07T10:28:31Z,0
@billzima7068,Another awesome one!!,2025-06-05T20:44:28Z,0
@YvonneElizabethBurggraaf,It's biking and forests now.,2025-05-29T20:53:26Z,0
@YvonneElizabethBurggraaf,"Real love is in peace. No running, no butterflies, no tension or hyperactivity. Love feels as rest in peace. It's not a race, challenge, performance, show-your-friends thing you see.",2025-05-29T20:50:12Z,1
@YvonneElizabethBurggraaf,I stopped swimming too.,2025-05-29T20:45:49Z,0
@YvonneElizabethBurggraaf,"I gave you a castle on earth, but now you need the Kingdom of heaven. We're rising you see.",2025-05-29T20:40:29Z,0
@YvonneElizabethBurggraaf,O My Michael. What did we do?,2025-05-29T20:39:31Z,0
@Nildojfs84,Top demais !!!!,2025-05-23T22:00:00Z,0
@Nildojfs84,Top top,2025-05-23T21:59:32Z,0
@Snoflakes_1,"I never understood why this one didn't blow up like Let Her Go. Holes too, they're all right up the same alley with deep lyrics, addictive melody and relistenability",2025-05-21T20:15:27Z,0
@AnimeMento7,Who is watching again in 2025,2025-05-18T20:19:40Z,3
@elizabethcuellar3708,2025,2025-05-16T22:39:31Z,0
@karimkaiz9212,2025 ?,2025-05-10T13:26:44Z,0
@AmmaMF,Oh Mike so Young and the video I just sit there with a hugge smile and actually laughed too. Wrong direction but so cute too 😉 Amma 2025 May the 7th 🤗❤️,2025-05-07T06:51:52Z,0
@BarbinaElias,2025 and I’m still here❤,2025-05-05T13:48:50Z,0
@FrankAppiah-m4b,The first cut is the deepest the realist flipping hurt,2025-05-02T00:35:03Z,0
@raiobaulene10,🔥,2025-04-30T22:07:52Z,0
@wilfredovera4247,❤,2025-04-24T16:45:44Z,0
@dominicnwachukwu3170,Who's listening on this day 24/04/25🖐️.,2025-04-24T16:44:29Z,0
@black444YTU,I love this song,2025-04-17T12:54:42Z,0
@iviwep_mma2263,Timeless,2025-04-14T15:01:43Z,0
@iviwep_mma2263,2025 and it still makes so much sense,2025-04-14T14:51:44Z,1
@iviwep_mma2263,My life,2025-04-14T14:45:35Z,0
@BostonKamaya,I thought I was close but under feather inspection it seems I have been running in the wrong direction noo,2025-04-05T11:54:46Z,0
@kibby-annwiggon1992,2025❤,2025-04-02T02:15:43Z,0
@tapiwanashechakanetsa3827,31m only.... the world is missing out,2025-03-29T08:28:58Z,0
@benemo436,9 years later and I'm still in the wrong direction...,2025-03-26T18:37:25Z,1
@micheltcheundjeu338,Je suis au cameroun et j’ecoute ca en 2025,2025-03-20T13:11:50Z,2
@soumyaranjandash1026,Who is listening in 2025,2025-03-19T05:52:34Z,155
@fakescam4197,2025,2025-03-17T04:14:48Z,2
@jeremiahbaguitu4220,This song will never get old 👑🙏,2025-03-15T15:59:25Z,18
@unfilteredchinawithsuraj,2025?,2025-03-15T06:30:12Z,2
@franci96,Who’s listening in 2025? 🙋🏻‍♀️,2025-03-06T10:36:23Z,20
@gilbertkiosaki7823,Any one 2025 ??,2025-03-03T10:02:45Z,2
@joseluizluiz7420,Adorei a música muito linda,2025-02-27T20:22:15Z,1
@MackieKaosoni,Anyone in 2025?,2025-02-24T22:13:21Z,1
@DiGGY-f4q,2025 anyone?,2025-02-23T11:39:44Z,1
